variant,accuracy,balanced_accuracy,macro_f1,weighted_f1,delta_vs_majority
hypothesis_only,0.5349301397205589,0.5351284125282195,0.5354997838547986,0.5353132302668301,0.19860279441117767
premise_only,0.3283433133732535,0.32782398071447444,0.3231934447275504,0.323471237606447,-0.007984031936127733
premise_plus_hypothesis,0.5838323353293413,0.5841249797937081,0.5845662175937405,0.5842876057401136,0.24750499001996007
shuffled_premise,0.5359281437125748,0.5370052849317087,0.5210345358609344,0.5205111376519453,0.19960079840319356
